iter	Passed	Remaining
399	28460	42690
400	28519	42601
401	28577	42511
402	28701	42517
403	28792	42475
404	28874	42420
405	28967	42381
406	29038	42309
407	29103	42228
408	29323	42371
409	29403	42312
410	29516	42299
411	29780	42502
412	29875	42461
413	29941	42380
414	30013	42308
415	30076	42223
416	30132	42127
417	30202	42052
418	30306	42023
419	30390	41968
420	30468	41902
421	30548	41840
422	30635	41788
423	30742	41763
424	30866	41761
425	30948	41701
426	31061	41682
427	31146	41625
428	31214	41546
429	31276	41460
430	31387	41437
431	31457	41360
432	31524	41280
433	31592	41201
434	31673	41139
435	31745	41064
436	31865	41053
437	31928	40967
438	32008	40904
439	32097	40851
440	32176	40786
441	32261	40728
442	32364	40693
443	32456	40644
444	32509	40545
445	32615	40513
446	32683	40433
447	32765	40371
448	32862	40328
449	32930	40247
450	32979	40145
451	33043	40061
452	33113	39985
453	33170	39892
454	33228	39801
455	33302	39729
456	33370	39650
457	33439	39572
458	33525	39514
459	33623	39471
460	33700	39402
461	33821	39385
462	33924	39347
463	33996	39272
464	34082	39213
465	34171	39157
466	34243	39083
467	34315	39008
468	34373	38917
469	34443	38840
470	34511	38761
471	34598	38703
472	34667	38625
473	34741	38552
474	34848	38516
475	34962	38487
476	35049	38429
477	35148	38384
478	35239	38329
479	35326	38269
480	35444	38245
481	35515	38167
482	35617	38124
483	35725	38087
484	35860	38078
485	35943	38014
486	36036	37960
487	36116	37892
488	36187	37815
489	36290	37771
490	36400	37734
491	36501	37688
492	36596	37635
493	36684	37575
494	36774	37517
495	36846	37441
496	36918	37364
497	36984	37281
498	37042	37191
499	37102	37102
500	37169	37020
501	37251	36954
502	37318	36873
503	37387	36793
504	37459	36717
505	37528	36638
506	37604	36566
507	37671	36485
508	37743	36408
509	37822	36339
510	37894	36263
511	37960	36181
512	38034	36106
513	38100	36024
514	38157	35934
515	38218	35848
516	38295	35777
517	38358	35692
518	38451	35636
519	38554	35588
520	38618	35505
521	38682	35422
522	38771	35361
523	38886	35324
524	38968	35257
525	39023	35165
526	39092	35087
527	39169	35015
528	39230	34929
529	39284	34837
530	39348	34754
531	39413	34671
532	39481	34592
533	39550	34513
534	39621	34436
535	39677	34347
536	39751	34273
537	39849	34220
538	39931	34153
539	39997	34071
540	40096	34019
541	40190	33961
542	40262	33885
543	40378	33846
544	40513	33823
545	40625	33780
546	40729	33730
