iter	Logloss
142	0.4030405659
143	0.4029651098
144	0.4027987413
145	0.402694354
146	0.4025603992
147	0.4024746593
148	0.4023966267
149	0.4021778885
150	0.4021028955
151	0.4020061835
152	0.4019224674
153	0.4018004722
154	0.4016070279
155	0.401530514
156	0.4015090591
157	0.4013379027
158	0.4013378531
159	0.4012600566
160	0.4011605774
161	0.4010316429
162	0.4009218677
163	0.4007452477
164	0.4006659261
165	0.4005253317
166	0.4004259712
167	0.4003438525
168	0.4003154653
169	0.4002501282
170	0.4001395171
171	0.3999891925
172	0.3997746079
173	0.3996360776
174	0.3995462702
175	0.3995462692
176	0.3994452092
177	0.3993605241
178	0.3992660563
179	0.3991327133
180	0.3989699009
181	0.3988590329
182	0.3987495619
183	0.3986288513
184	0.3985155297
185	0.3983782023
186	0.3982948376
187	0.3981944729
188	0.3980386417
189	0.3979887121
190	0.3978892788
191	0.3977493574
192	0.3976071788
193	0.3974814985
194	0.3973353761
195	0.3972252925
196	0.3971005563
197	0.3970095369
198	0.3968423811
199	0.3967534434
200	0.3966425628
201	0.3964936038
202	0.3963311319
203	0.3962053246
204	0.3960714285
205	0.3959252622
206	0.3958529
207	0.395752481
208	0.395677644
209	0.3955710273
210	0.3954969045
211	0.3953949076
212	0.3952768057
213	0.3951576454
214	0.3950543472
215	0.3949331939
216	0.394882509
217	0.3947717274
218	0.3946567369
219	0.3945813677
220	0.3943741134
221	0.3942554456
222	0.394164544
223	0.3940810749
224	0.3939386106
225	0.3938408256
226	0.3937397024
227	0.393610378
228	0.3935293876
229	0.3934569
230	0.3933556871
231	0.3932526682
232	0.393059216
233	0.3929219935
234	0.3928712078
235	0.3928002673
236	0.3926924785
237	0.3925355821
238	0.3924420369
239	0.3923462018
240	0.392278439
241	0.3921710472
242	0.3920888723
243	0.3920083705
244	0.3919583742
245	0.3918703793
246	0.3918194795
247	0.3917207366
248	0.3916200164
249	0.3915166261
250	0.3914635524
251	0.3913858748
252	0.3912929763
253	0.3912045261
254	0.3911293455
255	0.3910979648
256	0.391043893
257	0.3909854478
258	0.3908945686
259	0.3908362907
260	0.3907515773
261	0.3906739038
262	0.3906368451
263	0.3905801358
264	0.3904957096
265	0.3903751801
266	0.3903665974
267	0.3902766106
268	0.3901630039
269	0.3900806732
270	0.3899933529
271	0.3899070206
272	0.3898205588
273	0.3897632363
274	0.3896883863
275	0.3896371561
276	0.3895854888
277	0.3895386933
278	0.3894830545
279	0.3894398703
280	0.3893800955
281	0.3893463789
282	0.3892364978
283	0.3891970928
284	0.389141967
285	0.3890777365
286	0.3889966053
287	0.388952389
288	0.3888578249
289	0.3888327454
290	0.3887643331
291	0.3886721887
292	0.3885391413
293	0.3884918856
294	0.3884115528
295	0.3883388426
296	0.3882803332
297	0.3882456039
298	0.3882013501
299	0.3880951997
300	0.3880121155
301	0.3879533942
302	0.3879118051
303	0.3879102358
304	0.3878434437
305	0.3877657757
306	0.3877134979
307	0.3876559915
308	0.3876000001
309	0.3875740181
310	0.3875394312
311	0.3874406957
312	0.3873826545
313	0.3873318406
314	0.3872571993
315	0.3872217501
316	0.387191332
317	0.3870825535
318	0.3870163402
319	0.3869855735
320	0.3868649302
321	0.3868085768
322	0.3867386663
323	0.3866488836
324	0.38656376
325	0.3864957695
326	0.386448721
327	0.3863799141
328	0.3863533359
329	0.3862893913
330	0.3861945772
331	0.3861358347
332	0.3860480802
333	0.3859693117
334	0.3858753136
335	0.385829895
336	0.3857780529
337	0.3856894162
338	0.3856165414
339	0.3855597448
340	0.3854623734
341	0.3854281912
342	0.3853911707
343	0.385327283
344	0.3852631401
345	0.3852051625
346	0.3851385513
347	0.3851132939
348	0.3850084601
349	0.3849605857
350	0.3848769711
351	0.3848229715
352	0.3847682452
353	0.3846908292
354	0.3846160432
355	0.3845658291
356	0.3845117558
357	0.3844486691
358	0.3843803356
359	0.3843282076
360	0.3842585957
361	0.3842095198
362	0.3841623599
363	0.3840672847
364	0.3840118224
365	0.3839996354
366	0.3839415104
367	0.3839158387
368	0.383825219
369	0.3837633614
370	0.3837276475
371	0.3836740907
372	0.383586591
373	0.3835114305
374	0.3834405278
375	0.3834064464
376	0.383346835
377	0.3833004553
378	0.3832788069
379	0.383258897
380	0.3831314626
381	0.3830959117
382	0.3830813026
383	0.3830565328
384	0.3829450961
385	0.3828813344
386	0.3828340535
387	0.3827578028
388	0.3827302702
389	0.3826956749
390	0.3826461039
391	0.3826003389
392	0.3825520386
393	0.3825204661
394	0.3824416179
395	0.3824012408
396	0.3823593304
397	0.3823139579
398	0.3822691135
399	0.3822678745
400	0.3822323617
401	0.382178704
402	0.3821385298
403	0.3820407002
404	0.3819907156
405	0.3819318212
406	0.3818964718
407	0.3818347043
408	0.3817903624
409	0.3817091838
410	0.3816363287
411	0.381601315
412	0.381520029
413	0.381437054
414	0.3814200086
415	0.3813919746
416	0.3813228476
417	0.3813078462
418	0.3812315579
419	0.3811681786
420	0.3810664865
421	0.3810354898
422	0.380940527
423	0.3808431498
424	0.3808044148
425	0.3807876628
426	0.3807250741
427	0.3806653556
428	0.3805957167
429	0.3805493835
430	0.380528839
431	0.3804639214
432	0.3804235729
433	0.3803731414
434	0.3803040375
435	0.3802291836
436	0.3801677112
437	0.3801342077
438	0.3800667838
439	0.3799984398
440	0.37994926
441	0.3798941477
442	0.3798522494
443	0.3797612984
444	0.3797177449
445	0.3796627084
446	0.3795799209
447	0.3794927763
448	0.3794379938
449	0.3793876595
450	0.3793865545
451	0.3793470199
452	0.3792862451
453	0.3792263541
454	0.3791535857
455	0.3790893284
456	0.3790690592
457	0.3790070392
458	0.3789215753
459	0.3788752509
460	0.3788322061
461	0.3787906559
462	0.3787390904
463	0.378693972
464	0.3786019307
465	0.3785178094
466	0.3784935874
467	0.378450448
468	0.3783841237
469	0.3783446125
470	0.378313932
471	0.3782433309
472	0.3781878991
473	0.3781202983
474	0.3780961896
475	0.3780443306
476	0.3780096321
477	0.3779196567
478	0.3778875499
479	0.3778373292
480	0.3777781591
481	0.3777229483
482	0.3776676883
483	0.3775968851
484	0.3775436998
485	0.3775064968
486	0.3774676503
487	0.3774388323
488	0.3774007962
489	0.3773434623
490	0.3772878916
491	0.3772438565
492	0.3771823475
493	0.3770989378
494	0.3770532453
495	0.3770142748
496	0.3769645568
497	0.3769301261
498	0.3768985665
499	0.3768781788
500	0.3768138014
501	0.3767499452
502	0.376712872
503	0.3766930676
504	0.3766283936
505	0.3765822859
506	0.3765087369
507	0.3764664785
508	0.3764074451
509	0.3763628106
510	0.3763420316
511	0.3763097965
512	0.376257652
513	0.3762278196
514	0.3762209883
515	0.3761709079
516	0.376099149
517	0.3760705207
518	0.3760269214
519	0.3759944994
520	0.3759674661
521	0.3759293134
522	0.3758901643
523	0.3758607292
524	0.3758166868
525	0.375815954
526	0.3757639543
527	0.3756895744
528	0.3756585109
529	0.3756232017
530	0.3755648267
531	0.3755541118
532	0.3755332842
533	0.3754779653
534	0.375390739
535	0.375350423
536	0.3752888673
537	0.3752133475
538	0.3751940006
539	0.3751934658
540	0.375170146
541	0.3751654592
542	0.3750874438
543	0.3750280539
544	0.3749761928
545	0.3749262037
546	0.3748737567
547	0.374873442
548	0.3748409278
549	0.3748131068
550	0.3747703414
551	0.3747336352
552	0.3746808232
553	0.3746343569
554	0.3745973835
555	0.3745606054
556	0.3744998788
557	0.3744161802
558	0.3743515103
559	0.374306639
560	0.3742642349
561	0.3742243387
562	0.3741840507
563	0.374174148
564	0.3741264698
565	0.3740943782
566	0.3740681129
567	0.374008543
568	0.37396608
569	0.3739452814
570	0.373917157
571	0.3738879276
572	0.3738138928
573	0.3738060196
574	0.3737659193
575	0.3737192493
576	0.3737051689
577	0.373655492
578	0.3736051375
579	0.3735711266
580	0.3735365966
581	0.3734764067
582	0.3734412395
583	0.3734039857
584	0.373340498
585	0.373285356
586	0.3732539989
587	0.3732069459
588	0.3731931276
589	0.3731509511
590	0.3730862047
591	0.3730481709
592	0.3730141148
593	0.3729840777
594	0.3729356851
595	0.3729346984
596	0.3728820581
597	0.3728305719
598	0.372781614
599	0.3727392488
600	0.3726996007
601	0.3726643255
602	0.3726080104
603	0.3725768438
604	0.3725081303
605	0.3724918298
606	0.3724570291
607	0.3724515943
608	0.3724459874
609	0.3724087714
610	0.3723456944
611	0.3723022996
612	0.3722640806
613	0.3722166496
614	0.3721401372
615	0.3720856978
616	0.3720314146
617	0.3719836699
618	0.371958817
619	0.3719067253
620	0.3718721338
621	0.3718535382
622	0.3718241842
623	0.3717589499
624	0.3717297839
625	0.3717142948
626	0.3717131188
627	0.3716649005
628	0.3716328135
629	0.3715586403
630	0.3714983511
631	0.3714709595
632	0.371427611
633	0.3714217181
634	0.3714022071
635	0.371349685
636	0.3713365972
637	0.371313522
638	0.3712831002
639	0.3712279208
640	0.3711780836
641	0.3711487421
642	0.3711052502
643	0.3710586419
644	0.3710248062
645	0.3709988567
646	0.3709502608
647	0.3709494084
648	0.3709080382
649	0.3708878462
650	0.3708376269
651	0.370820797
652	0.3707927583
653	0.3707599397
654	0.3707578531
655	0.3706973628
656	0.3706676171
657	0.3706294157
658	0.3705990996
659	0.370535102
660	0.3704941461
661	0.3704316649
662	0.3703679521
663	0.3703538107
664	0.3702855505
665	0.3702400079
666	0.3702145598
667	0.3701820585
668	0.3701720629
669	0.3701678611
670	0.3701404376
671	0.3700811396
672	0.3700387949
673	0.3700064324
674	0.3699616483
675	0.3699018023
676	0.3698697154
677	0.3698290935
678	0.3698021213
679	0.369746247
680	0.3696936946
681	0.369629169
682	0.3695917234
683	0.3695747564
684	0.3695367006
685	0.3694727571
686	0.36946316
687	0.3693875135
688	0.369289176
689	0.3692508338
690	0.3692143003
691	0.3691678198
692	0.3691364785
693	0.3690753116
694	0.3690585875
695	0.3690324173
696	0.368999922
697	0.3689687827
698	0.3689234643
699	0.3688892906
700	0.3688234009
701	0.3687816426
702	0.368746748
703	0.3687008932
704	0.3686572376
705	0.3686249436
706	0.3685686507
707	0.3685592848
708	0.3685341995
709	0.3685064086
710	0.3684939703
711	0.3684636604
712	0.3684437314
713	0.3683980971
714	0.3683683562
715	0.3683325259
716	0.3683114189
717	0.3682963203
718	0.368261074
719	0.3682331332
720	0.3681846036
721	0.3681377063
722	0.3681032933
723	0.3680687937
724	0.3680441535
725	0.3680285681
726	0.3679703075
727	0.3679265059
728	0.3678643764
729	0.3678422023
730	0.3677752818
731	0.3677675426
732	0.367718045
733	0.3676671174
734	0.3676571101
735	0.3676300215
736	0.3675664944
737	0.3675480442
738	0.3674988635
739	0.3674412173
740	0.3674055189
741	0.3673631095
742	0.3673350426
743	0.3672823856
744	0.3672281655
745	0.3671887237
746	0.367137839
747	0.3671126294
748	0.3670856058
749	0.3670584633
750	0.3670406527
751	0.3670400824
752	0.3669955239
753	0.3669527041
754	0.3669513167
755	0.3669112101
756	0.3668591154
757	0.3668129099
758	0.3667620281
759	0.3667308588
760	0.3667110843
761	0.3667034879
762	0.3666404937
763	0.3665768343
764	0.3665495597
765	0.3665471318
766	0.3665386896
767	0.3664712491
768	0.3664316659
769	0.366425793
770	0.366381558
771	0.366323959
772	0.3663105603
773	0.3662634561
774	0.3662292606
775	0.3661933885
776	0.366158662
777	0.3661258596
778	0.3661099336
779	0.3660713062
780	0.366059308
781	0.3660535826
782	0.3660196144
783	0.3659821224
784	0.3659434493
785	0.3658669919
786	0.3657945764
787	0.3657515191
788	0.3656911926
789	0.3656633316
790	0.3656393429
791	0.3656187102
792	0.3655687301
793	0.365530854
794	0.3654844946
795	0.3654351901
796	0.3653889773
797	0.3653396298
798	0.3652984353
799	0.3652513935
800	0.3652178989
801	0.3651873539
802	0.3651535476
803	0.3651317466
804	0.365119335
805	0.3650693574
806	0.3650170088
807	0.36498199
808	0.364951809
809	0.3649137558
810	0.3648828795
811	0.3648409835
812	0.3647928285
813	0.3647776718
814	0.3647355425
815	0.3647053839
816	0.3646549344
817	0.3646121846
818	0.3645610124
819	0.36451329
820	0.3644787457
821	0.3644268996
822	0.3643780638
823	0.3643586058
824	0.3643514457
825	0.3643129796
826	0.3642831389
827	0.3642363774
828	0.3641980729
829	0.3641462991
830	0.3641239382
831	0.3641006211
832	0.3640865242
833	0.3640844812
834	0.3640541922
835	0.3640263767
836	0.3640049344
837	0.3639663373
838	0.3639199229
839	0.363872656
840	0.3638527357
841	0.3638275625
842	0.3638041695
843	0.3637633447
844	0.3637288945
845	0.3636978374
846	0.3636629283
847	0.3636563647
848	0.3636454993
849	0.3635909714
850	0.3635621371
851	0.3635138493
852	0.3634714456
853	0.3634343186
854	0.3633867302
855	0.3633462123
856	0.3632922711
857	0.3632695131
858	0.3632577158
859	0.3632201535
860	0.3631913538
861	0.3631719947
862	0.3631157484
863	0.3631062137
864	0.3630749873
865	0.3630422729
866	0.3629939473
867	0.3629485351
868	0.3629062256
869	0.3629036537
870	0.3628980619
871	0.3628527133
872	0.3628422463
873	0.3628112193
874	0.3627884314
875	0.3627691464
876	0.3627064434
877	0.3627060676
878	0.3626911859
879	0.3626785895
880	0.3626438681
881	0.3626114436
882	0.3625624814
883	0.3625556743
884	0.3625426707
885	0.3624980683
886	0.3624675602
887	0.3624212252
888	0.3623795236
889	0.3623275727
890	0.3623273698
891	0.3622989941
892	0.3622681972
893	0.3622045649
894	0.3621875684
895	0.3621565985
896	0.3621035209
897	0.362075269
898	0.3620437334
899	0.3620141465
900	0.3619808635
901	0.3619451126
902	0.3619322722
903	0.3618857189
904	0.3618579886
905	0.3618200352
906	0.3618079464
907	0.361805512
908	0.3617643178
909	0.3616966829
910	0.3616315024
911	0.3616183166
912	0.361587552
913	0.3615302417
914	0.3615007477
915	0.3614629738
916	0.3614176273
917	0.3613814129
918	0.361332797
919	0.3612939646
920	0.3612764618
921	0.3612619628
922	0.3612425975
923	0.361226428
924	0.3612251216
925	0.3612005567
926	0.3611756048
927	0.3611451139
928	0.3611078958
929	0.3610838072
930	0.3610518262
931	0.3610135784
932	0.3609667492
933	0.3609470441
934	0.3609271422
935	0.3608838491
936	0.3608396394
937	0.3608065484
938	0.3607902474
939	0.360769115
940	0.3607473459
941	0.360688945
942	0.3606600435
943	0.3606352169
944	0.360632798
945	0.3606264785
946	0.3606172302
947	0.3605989274
948	0.3605455631
949	0.3605315733
950	0.3604934992
951	0.36045036
952	0.360410207
953	0.3604082437
954	0.3603787079
955	0.3603572124
956	0.3603165071
957	0.3602728149
958	0.3602378963
959	0.3602336914
960	0.3602097734
961	0.3601677931
962	0.3601170888
963	0.3600877041
964	0.3600405212
965	0.3600007989
966	0.3599764023
967	0.359960451
968	0.3599335535
969	0.3599227468
970	0.3598837841
971	0.3598345453
972	0.3598331054
973	0.3598025403
974	0.3597948316
975	0.3597510945
976	0.3597119675
977	0.359679673
978	0.3596277838
979	0.3595978973
980	0.3595942793
981	0.3595691741
982	0.3595118644
983	0.3594789621
984	0.3594553454
985	0.3594139563
986	0.3593746107
987	0.3593599977
988	0.3593399382
989	0.3592996649
990	0.3592577944
991	0.3591891909
992	0.3591834299
993	0.3591653945
994	0.3591188421
995	0.3590651592
996	0.3590406844
997	0.3590111635
998	0.3589823747
999	0.3589395462
